room_no,new_room_no,tenant_name,area_sqft,floor,rent,gst_18,total_amount,validity,expired_date,valid_through,deposit,status,status_label,popup_title,notes,source,needs_review,data_issue
10,38/926,Adithya 4,"1,200",Ground,"50,000.00","9,000.00","59,000",invalid,31/03/2017,,"3,00,000",occupied,Occupied,Room 10 · 38/926,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
11,38/922,,,Ground,,,,,,,,review,Needs Review,Room 11 · 38/922,"['Source sheet lists 38/922 but does not provide tenant, area, rent, or validity details.']",Uploaded rent/space details PDF,True,"Source sheet lists 38/922 but does not provide tenant, area, rent, or validity details."
12,38/935,Hi-tech college,"1,000",First,"29,731.36","5,351.64","35,083",invalid,01/09/2023,,"1,50,000",occupied,Occupied,Room 12 · 38/935,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
13,38/934,Akshaya project office,"1,048",First,"17,445.76","3,140","20,586.00",invalid,06/03/2018,,,occupied,Occupied,Room 13 · 38/934,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
14,38/933,Vacant,690,First,,,,,,,,vacant,Vacant,Room 14 · 38/933,[],Uploaded rent/space details PDF,False,
15,38/932,Tata general insurance,860,First,"32,774.58","5,899.42","38,674.00",valid,,09/02/2029,"1,41,120",occupied,Occupied,Room 15 · 38/932,[],Uploaded rent/space details PDF,False,
16,38/931,Cosmo power,1010,First,"30,416.95","5,475.05","35,892.00",invalid,31/03/2017,,"1,20,000",occupied,Occupied,Room 16 · 38/931,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
17,38/929,Watermelon adds,"1,048",First,"20,000.00","3,600.00","23,600",invalid,14/05/2022,,"1,20,000",occupied,Occupied,Room 17 · 38/929,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
17.1,38/929-1,Sanvir technologies,330,First,"9,884.75","1,779.25","11,664.00",invalid,01/05/2017,,"26,000",occupied,Occupied,Room 17.1 · 38/929-1,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
18,38/927,Artisans development,"1,200",First,"23,774.58","4,279.42","28,054",invalid,01/05/2017,,"43,200",occupied,Occupied,Room 18 · 38/927,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
19,38/928,Vacant,635,First,,,,,,,,vacant,Vacant,Room 19 · 38/928,[],Uploaded rent/space details PDF,False,
21,38/944,Aims Insurance,686,Second,"11,037.29","1,986.71","13,024.00",invalid,01/06/2025,,"3,29,28",occupied,Occupied,Room 21 · 38/944,"['Deposit is kept exactly as shown in the source sheet: 3,29,28. Please confirm if a digit is missing.', 'Agreement validity is marked invalid in the source sheet.']",Uploaded rent/space details PDF,True,"Deposit is kept exactly as shown in the source sheet: 3,29,28. Please confirm if a digit is missing."
22,38/943,AMIS Insurance,530,Second,"10,148.31","1,826.69","11,975.00",invalid,01/06/2025,,,occupied,Occupied,Room 22 · 38/943,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
23,38/924,Reliance insurance,"1,013",Second,"44,467.95","8,005.05","52,473",,01/01/2016,,"1,46,320",occupied,Occupied,Room 23 · 38/924,['Source sheet lists new room no. as 38/924 on Second Floor. Plan label may require confirmation before final publishing.'],Uploaded rent/space details PDF,True,Source sheet lists new room no. as 38/924 on Second Floor. Plan label may require confirmation before final publishing.
24,38/941,Magma insurance,673,Second,"22,000","3,960.00","25,960",valid,,12/12/2030,"1,32,000",occupied,Occupied,Room 24 · 38/941,[],Uploaded rent/space details PDF,False,
25,38/940,Reliance insurance,816,Second,,,,,,,,occupied,Occupied,Room 25 · 38/940,['Rent / GST / total amount not provided in the source sheet.'],Uploaded rent/space details PDF,False,
26,38/939,Vacant,680,Second,,,,,,,,vacant,Vacant,Room 26 · 38/939,[],Uploaded rent/space details PDF,False,
27,38/938,MFTC,"1,250",Second,"50,000","9,000","59,000",valid,,01/06/2026,"3,00,000",occupied,Occupied,Room 27 · 38/938,[],Uploaded rent/space details PDF,False,
28,38/945,Space mep consultants,600,Second,"9,654.03","1,737.97","11,392.00",invalid,24/01/2025,,"64,800",occupied,Occupied,Room 28 · 38/945,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
29,38/936,Sanvir technologies,512,Second,"16,530.51","2,975.49","19,506.00",invalid,,,,occupied,Occupied,Room 29 · 38/936,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
30,38/937,Red brick media,614,Second,"17,863.56","3,215.44","21,079.00",invalid,31/03/2017,,"1,00,000",occupied,Occupied,Room 30 · 38/937,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
44,38/948,Vacant,900,Third,,,,,,,,vacant,Vacant,Room 44 · 38/948,[],Uploaded rent/space details PDF,False,
44-A,38/949,Vacant,"1,300",Third,,,,,,,,vacant,Vacant,Room 44-A · 38/949,[],Uploaded rent/space details PDF,False,
45,38/950-1,Vacant,454,Third,,,,,,,,vacant,Vacant,Room 45 · 38/950-1,['Source sheet uses 38/950-1 for both Room 45 and Room 45A. Confirm if these are two portions of the same unit.'],Uploaded rent/space details PDF,True,Source sheet uses 38/950-1 for both Room 45 and Room 45A. Confirm if these are two portions of the same unit.
45A,38/950-1,Hi-tech college,650,Third,"13,839.83","2,491.17","16,331.00",invalid,01/09/2023,,,occupied,Occupied,Room 45A · 38/950-1,"['Source sheet uses 38/950-1 for both Room 45 and Room 45A. Confirm if these are two portions of the same unit.', 'Agreement validity is marked invalid in the source sheet.']",Uploaded rent/space details PDF,True,Source sheet uses 38/950-1 for both Room 45 and Room 45A. Confirm if these are two portions of the same unit.
46,38/947,Vacant,"2,000",Third,,,,,,,,vacant,Vacant,Room 46 · 38/947,[],Uploaded rent/space details PDF,False,
47,38/951,Lonrix,750,Third,"18,750.00","3,375.00","22,125",invalid,01/07/2024,,"1,12,500",occupied,Occupied,Room 47 · 38/951,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
48,38/946,Vacant,620,Third,,,,,,,,vacant,Vacant,Room 48 · 38/946,[],Uploaded rent/space details PDF,False,
48A,38/946-1,Silver star nursing,350,Third,"8,000.00","1,440","9,440",invalid,01/07/2024,,"32,000",occupied,Occupied,Room 48A · 38/946-1,['Agreement validity is marked invalid in the source sheet.'],Uploaded rent/space details PDF,False,
PLAN-G-954,38/954,Plan-only label,,Ground,,,,,,,,review,Needs Review,38/954 · Plan label,"['This room is visible on the blueprint, but no matching rent-sheet row was found.']",Blueprint visual cross-check,True,"This room is visible on the blueprint, but no matching rent-sheet row was found."
PLAN-G-955,38/955,Plan-only label,,Ground,,,,,,,,review,Needs Review,38/955 · Plan label,"['This room is visible on the blueprint, but no matching rent-sheet row was found.']",Blueprint visual cross-check,True,"This room is visible on the blueprint, but no matching rent-sheet row was found."
PLAN-F-930,38/930,Plan-only label,,First,,,,,,,,review,Needs Review,38/930 · Plan label,"['This room is visible on the blueprint, but no matching rent-sheet row was found.']",Blueprint visual cross-check,True,"This room is visible on the blueprint, but no matching rent-sheet row was found."
PLAN-F-957A,38/957/A,Plan-only label,,First,,,,,,,,review,Needs Review,38/957/A · Plan label,"['This room is visible on the blueprint, but no matching rent-sheet row was found.']",Blueprint visual cross-check,True,"This room is visible on the blueprint, but no matching rent-sheet row was found."
PLAN-S-928,38/928,Plan-only / floor mismatch,,Second,,,,,,,,review,Needs Review,38/928 · Plan label,"['The plan shows 38/928 on this floor, while the rent sheet lists 38/928 as First Floor vacant. Confirm before final publishing.']",Blueprint visual cross-check,True,"The plan shows 38/928 on this floor, while the rent sheet lists 38/928 as First Floor vacant. Confirm before final publishing."
PLAN-T-000,38/000,Plan-only label,,Third,,,,,,,,review,Needs Review,38/000 · Plan label,"['This room is visible on the blueprint, but no matching rent-sheet row was found.']",Blueprint visual cross-check,True,"This room is visible on the blueprint, but no matching rent-sheet row was found."
PLAN-T-933,38/933,Plan-only / copied label,,Third,,,,,,,,review,Needs Review,38/933 · Plan label,"['The third-floor plan appears to show 38/933, while the rent sheet lists 38/933 as First Floor vacant. Confirm plan label.']",Blueprint visual cross-check,True,"The third-floor plan appears to show 38/933, while the rent sheet lists 38/933 as First Floor vacant. Confirm plan label."
PLAN-T-934,38/934,Plan-only / copied label,,Third,,,,,,,,review,Needs Review,38/934 · Plan label,"['The third-floor plan appears to show 38/934, while the rent sheet lists 38/934 as First Floor occupied. Confirm plan label.']",Blueprint visual cross-check,True,"The third-floor plan appears to show 38/934, while the rent sheet lists 38/934 as First Floor occupied. Confirm plan label."
PLAN-T-935,38/935,Plan-only / copied label,,Third,,,,,,,,review,Needs Review,38/935 · Plan label,"['The third-floor plan appears to show 38/935, while the rent sheet lists 38/935 as First Floor occupied. Confirm plan label.']",Blueprint visual cross-check,True,"The third-floor plan appears to show 38/935, while the rent sheet lists 38/935 as First Floor occupied. Confirm plan label."
